,011x024
ACBD5,0.432572614107884
ACOT11,0.432572614107884
ACTN2,0.432572614107884
AQP3,0.432572614107884
BIN2,0.432572614107884
BTN2A2,0.432572614107884
C1QA,0.905601659751037
CCL8,0.432572614107884
CCND1,0.432572614107884
CD274,0.432572614107884
CD83,0.432572614107884
CD9,0.905601659751037
CEACAM6,0.432572614107884
CLEC7A,0.432572614107884
CNTNAP3B,0.432572614107884
COL8A1,0.432572614107884
CTLA4,0.432572614107884
CTSW,0.432572614107884
CXADR,0.432572614107884
CXCL11,0.432572614107884
CXCL13,0.432572614107884
CXCL6,0.432572614107884
CXCL9,0.432572614107884
CYP2C18,0.432572614107884
DLL4,0.905601659751037
DNAJC6,0.432572614107884
ECSCR,0.432572614107884
EGLN3,0.432572614107884
EOMES,0.432572614107884
EPB41L3,0.432572614107884
EREG,0.432572614107884
ETV7,0.432572614107884
EZH2,0.432572614107884
FASLG,0.432572614107884
FBXO6,0.432572614107884
FCRL6,0.432572614107884
FEZ2,0.432572614107884
FUT9,0.432572614107884
GEM,0.432572614107884
GNLY,0.432572614107884
GPR171,0.432572614107884
GZMB,0.432572614107884
GZMH,0.432572614107884
HAPLN3,0.432572614107884
HMGCS2,0.432572614107884
HS3ST1,0.432572614107884
ID1,0.905601659751037
IDO1,0.432572614107884
IFNG,0.432572614107884
ITM2B,0.905601659751037
KHK,0.432572614107884
LAG3,0.432572614107884
LILRA2,0.432572614107884
LILRB3,0.432572614107884
LILRB4,0.432572614107884
LPAR1,0.432572614107884
LTA,0.432572614107884
LVRN,0.432572614107884
LY96,0.432572614107884
MAL2,0.432572614107884
MAP4K1,0.432572614107884
MAPKAPK2,0.905601659751037
MEST,0.432572614107884
MICAL2,0.432572614107884
MICB,0.432572614107884
MMP10,0.432572614107884
MYCT1,0.432572614107884
NFATC4,0.432572614107884
NUAK1,0.432572614107884
OSBPL1A,0.432572614107884
P4HB,0.993775933609959
PAQR5,0.432572614107884
PDCD1,0.432572614107884
PDE4B,0.432572614107884
PHEX,0.432572614107884
PLA2G2D,0.432572614107884
POMT1,0.905601659751037
PTHLH,0.432572614107884
RERG,0.432572614107884
RGS5,0.432572614107884
RPL14,0.961618257261411
RPL8,0.99792531120332
S1PR3,0.432572614107884
SCNM1,0.905601659751037
SDC4,0.905601659751037
SEMA3F,0.432572614107884
SERPINA3,0.432572614107884
SERPINB5,0.432572614107884
SET,0.432572614107884
SH3PXD2A,0.432572614107884
SIGLEC11,0.432572614107884
SIRPA,0.905601659751037
SIT1,0.432572614107884
SLC7A5,0.432572614107884
SNCG,0.432572614107884
SOX7,0.432572614107884
STAT1,0.432572614107884
SYPL1,0.905601659751037
TUBB2B,0.432572614107884
WFDC1,0.432572614107884
